"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 17 15:21:15 UTC 2026","Tue Mar 17 15:21:15 UTC 2026","2","Security Tests","pytest","","","","test_sql_injection[POST /auth/login [password]-1 OR 1=1--]","
    SQL injection payloads in string request-body fields must not cause
    the server to succeed (2xx) or crash (5xx).  Any 4xx response is
    an acceptable rejection.
    "
"passed","Tue Mar 17 15:21:15 UTC 2026","Tue Mar 17 15:21:15 UTC 2026","2","Security Tests","pytest","","","","test_sql_injection[POST /auth/login [password]-1' OR 'x'='x' --]","
    SQL injection payloads in string request-body fields must not cause
    the server to succeed (2xx) or crash (5xx).  Any 4xx response is
    an acceptable rejection.
    "
"passed","Tue Mar 17 15:21:15 UTC 2026","Tue Mar 17 15:21:15 UTC 2026","2","Security Tests","pytest","","","","test_sql_injection[POST /auth/register [email]-1' UNION SELECT NULL--]","
    SQL injection payloads in string request-body fields must not cause
    the server to succeed (2xx) or crash (5xx).  Any 4xx response is
    an acceptable rejection.
    "
"passed","Tue Mar 17 15:21:15 UTC 2026","Tue Mar 17 15:21:15 UTC 2026","2","Security Tests","pytest","","","","test_sql_injection[POST /auth/login [password]-1; SHUTDOWN;--]","
    SQL injection payloads in string request-body fields must not cause
    the server to succeed (2xx) or crash (5xx).  Any 4xx response is
    an acceptable rejection.
    "
"passed","Tue Mar 17 15:17:53 UTC 2026","Tue Mar 17 15:17:54 UTC 2026","647","UI Tests","Playwright","e2e/add-to-cart.spec.ts","","","add multiple different products to cart",""
"passed","Tue Mar 17 15:21:12 UTC 2026","Tue Mar 17 15:21:12 UTC 2026","2","Security Tests","pytest","","","","test_requires_auth[POST /cart/clear]","
    Every endpoint secured by bearerAuth in the OpenAPI contract must
    reject unauthenticated requests with 401 or 403.
    "
"passed","Tue Mar 17 15:21:12 UTC 2026","Tue Mar 17 15:21:12 UTC 2026","2","Security Tests","pytest","","","","test_requires_auth[POST /order/create]","
    Every endpoint secured by bearerAuth in the OpenAPI contract must
    reject unauthenticated requests with 401 or 403.
    "
"passed","Tue Mar 17 15:21:15 UTC 2026","Tue Mar 17 15:21:15 UTC 2026","9","Security Tests","pytest","","","","test_sql_injection[POST /payment/charge [orderId]-1 OR 1=1--]","
    SQL injection payloads in string request-body fields must not cause
    the server to succeed (2xx) or crash (5xx).  Any 4xx response is
    an acceptable rejection.
    "
"passed","Tue Mar 17 15:21:15 UTC 2026","Tue Mar 17 15:21:15 UTC 2026","2","Security Tests","pytest","","","","test_sql_injection[POST /auth/login [password]-1' AND SLEEP(5)--]","
    SQL injection payloads in string request-body fields must not cause
    the server to succeed (2xx) or crash (5xx).  Any 4xx response is
    an acceptable rejection.
    "
"passed","Tue Mar 17 15:26:48 UTC 2026","Tue Mar 17 15:26:48 UTC 2026","2","AI Tests","Generated Tests","","","","test_get_current_user_unauthorized","Accessing /auth/me without auth should return 401."
"passed","Tue Mar 17 15:26:49 UTC 2026","Tue Mar 17 15:26:49 UTC 2026","7","AI Tests","Generated Tests","","","","test_remove_item_from_cart","Remove an item from the cart by productId."
"passed","Tue Mar 17 15:26:48 UTC 2026","Tue Mar 17 15:26:48 UTC 2026","2","AI Tests","Generated Tests","","","","test_register_new_user","Register a new user and verify 201 response with id and email."
"passed","Tue Mar 17 15:20:38 UTC 2026","Tue Mar 17 15:20:38 UTC 2026","36","API Tests","pytest","","","","test_auth_login_invalid_credentials",""
"passed","Tue Mar 17 15:26:49 UTC 2026","Tue Mar 17 15:26:49 UTC 2026","7","AI Tests","Generated Tests","","","","test_get_cart_items","Retrieve cart items for the authenticated user."
"passed","Tue Mar 17 15:26:48 UTC 2026","Tue Mar 17 15:26:48 UTC 2026","3","AI Tests","Generated Tests","","","","test_health_check","Verify the health endpoint returns 200 with status field."
"passed","Tue Mar 17 15:18:00 UTC 2026","Tue Mar 17 15:18:00 UTC 2026","409","UI Tests","Playwright","e2e/payment-execution.spec.ts","","","cannot execute payment when cart is empty",""
"passed","Tue Mar 17 15:21:15 UTC 2026","Tue Mar 17 15:21:15 UTC 2026","1","Security Tests","pytest","","","","test_xss[POST /auth/login [password]-<img src=x onerror=alert(1)>]","
    XSS payloads in string request-body fields must not be reflected
    unescaped in the response and must not cause a server error (5xx).
    "
"passed","Tue Mar 17 15:20:38 UTC 2026","Tue Mar 17 15:20:38 UTC 2026","44","API Tests","pytest","","","","test_add_to_cart_success",""
"passed","Tue Mar 17 15:17:51 UTC 2026","Tue Mar 17 15:17:53 UTC 2026","1828","UI Tests","Playwright","e2e/add-to-cart.spec.ts","","","add single product to cart",""
"passed","Tue Mar 17 15:22:16 UTC 2026","Tue Mar 17 15:22:16 UTC 2026","1","Performance Tests","k6","","","","Throughput (total requests)",""
"passed","Tue Mar 17 15:21:15 UTC 2026","Tue Mar 17 15:21:15 UTC 2026","2","Security Tests","pytest","","","","test_sql_injection[POST /auth/register [email]-' OR ''=']","
    SQL injection payloads in string request-body fields must not cause
    the server to succeed (2xx) or crash (5xx).  Any 4xx response is
    an acceptable rejection.
    "
"passed","Tue Mar 17 15:17:58 UTC 2026","Tue Mar 17 15:17:58 UTC 2026","234","UI Tests","Playwright","e2e/order-confirmation.spec.ts","","","direct visit with invalid orderId shows no-order message",""
